010.055.082.202 2021.01.25 18:04:45.131 КОНФИГУРАЦИЯ   lsrc.main Версия СПО: 2.0.0164
010.055.082.202 2021.01.25 18:04:45.132 ОТЛАДКА_2      ConfigurationManager ConfigurationManager::read()
010.055.082.202 2021.01.25 18:04:45.132 ОТЛАДКА_2      ConfigurationManager Чтение переменных окружения.
010.055.082.202 2021.01.25 18:04:45.132 ОТЛАДКА_2      ConfigurationManager Чтение переменной окружения: RRTI_HOME.
010.055.082.202 2021.01.25 18:04:45.132 КОНФИГУРАЦИЯ   ConfigurationManager Значение переменной окружения [RRTI_HOME]: [C:\rrti-2.0\RRTI-2.0.0164].
010.055.082.202 2021.01.25 18:04:45.133 ОТЛАДКА_2      ConfigurationManager Чтение переменной окружения: CRC_CONFIG.
010.055.082.202 2021.01.25 18:04:45.133 КОНФИГУРАЦИЯ   ConfigurationManager Значение переменной окружения [CRC_CONFIG]: [(null)].
010.055.082.202 2021.01.25 18:04:45.133 ОТЛАДКА_2      ConfigurationManager Чтение переменной окружения: LSRC_CONFIG.
010.055.082.202 2021.01.25 18:04:45.133 КОНФИГУРАЦИЯ   ConfigurationManager Значение переменной окружения [LSRC_CONFIG]: [(null)].
010.055.082.202 2021.01.25 18:04:45.133 ОТЛАДКА_2      ConfigurationManager Чтение переменной окружения: LRC_CONFIG.
010.055.082.202 2021.01.25 18:04:45.133 КОНФИГУРАЦИЯ   ConfigurationManager Значение переменной окружения [LRC_CONFIG]: [(null)].
010.055.082.202 2021.01.25 18:04:45.133 ОТЛАДКА_2      ConfigurationManager Поиск конфигурационного файла [lsrc.cfg]:
010.055.082.202 2021.01.25 18:04:45.133 ОТЛАДКА_2      ConfigurationManager - Согласно переменной окружения...
010.055.082.202 2021.01.25 18:04:45.133 ОТЛАДКА_2      ConfigurationManager - Переменная окружения не установлена...
010.055.082.202 2021.01.25 18:04:45.133 ОТЛАДКА_2      ConfigurationManager - В директории RRTI_HOME/conf...
010.055.082.202 2021.01.25 18:04:45.133 КОНФИГУРАЦИЯ   ConfigurationManager - Конфигурационный файл читается из директории RRTI_HOME/conf.
010.055.082.202 2021.01.25 18:04:45.133 КОНФИГУРАЦИЯ   ConfigurationManager Используется конфигурационный файл [C:\rrti-2.0\RRTI-2.0.0164\conf\lsrc.cfg].
010.055.082.202 2021.01.25 18:04:45.133 КОНФИГУРАЦИЯ   ConfigurationParameter Параметр [CRC.ADDRESS] = [10.55.82.125].
010.055.082.202 2021.01.25 18:04:45.133 КОНФИГУРАЦИЯ   ConfigurationParameter Параметр [TRANSPORT.OWN_ADDRESS] = [10.55.82.202].
010.055.082.202 2021.01.25 18:04:45.133 КОНФИГУРАЦИЯ   ConfigurationParameter Параметр [LSRC.TRANSPORT_DEADLOCK_TIMEOUT] = [600000].
010.055.082.202 2021.01.25 18:04:45.133 КОНФИГУРАЦИЯ   ConfigurationParameter Параметр [LSRC.TRANSPORT_KILL_SLOW_READERS] = [false].
