010.055.082.202 2021.02.19 17:49:36.294 КОНФИГУРАЦИЯ   RTIambassadorImpl.newInstance Версия СПО: 2.0.0164 для Win32
010.055.082.202 2021.02.19 17:49:36.295 КОНФИГУРАЦИЯ   ConfigurationManager Значение переменной окружения [RRTI_HOME]: [C:\rrti-2.0\RRTI-2.0.0164].
010.055.082.202 2021.02.19 17:49:36.295 КОНФИГУРАЦИЯ   ConfigurationManager Значение переменной окружения [CRC_CONFIG]: [(null)].
010.055.082.202 2021.02.19 17:49:36.295 КОНФИГУРАЦИЯ   ConfigurationManager Значение переменной окружения [LSRC_CONFIG]: [(null)].
010.055.082.202 2021.02.19 17:49:36.299 КОНФИГУРАЦИЯ   ConfigurationManager Значение переменной окружения [LRC_CONFIG]: [(null)].
010.055.082.202 2021.02.19 17:49:36.304 КОНФИГУРАЦИЯ   ConfigurationManager - Конфигурационный файл читается из директории RRTI_HOME/conf.
010.055.082.202 2021.02.19 17:49:36.304 КОНФИГУРАЦИЯ   ConfigurationManager Используется конфигурационный файл [C:\rrti-2.0\RRTI-2.0.0164\conf\lrc.cfg].
010.055.082.202 2021.02.19 17:49:36.304 КОНФИГУРАЦИЯ   ConfigurationParameter Параметр [LRC.TRANSPORT_KILL_ON_DEADLOCK] = [false].
010.055.082.202 2021.02.19 17:49:36.304 КОНФИГУРАЦИЯ   ConfigurationParameter Параметр [LRC.TRANSPORT_KILL_SLOW_READERS] = [false].
010.055.082.202 2021.02.19 18:01:29.488 ИНФОРМАЦИОННОЕ Logger Журнал закрыт
