010.010.010.004 2021.01.29 09:13:54.495 КОНФИГУРАЦИЯ   RTIambassadorImpl.newInstance Версия СПО: 2.0.0164 для Win32
010.010.010.004 2021.01.29 09:13:54.496 КОНФИГУРАЦИЯ   ConfigurationManager Значение переменной окружения [RRTI_HOME]: [C:\HLA\rrti-2.0\RRTI-2.0.0164].
010.010.010.004 2021.01.29 09:13:54.496 КОНФИГУРАЦИЯ   ConfigurationManager Значение переменной окружения [CRC_CONFIG]: [(null)].
010.010.010.004 2021.01.29 09:13:54.496 КОНФИГУРАЦИЯ   ConfigurationManager Значение переменной окружения [LSRC_CONFIG]: [(null)].
010.010.010.004 2021.01.29 09:13:54.496 КОНФИГУРАЦИЯ   ConfigurationManager Значение переменной окружения [LRC_CONFIG]: [(null)].
010.010.010.004 2021.01.29 09:13:54.496 КОНФИГУРАЦИЯ   ConfigurationManager - Конфигурационный файл читается из директории RRTI_HOME/conf.
010.010.010.004 2021.01.29 09:13:54.496 КОНФИГУРАЦИЯ   ConfigurationManager Используется конфигурационный файл [C:\HLA\rrti-2.0\RRTI-2.0.0164\conf\lrc.cfg].
010.010.010.004 2021.01.29 09:13:54.496 КОНФИГУРАЦИЯ   ConfigurationParameter Параметр [LRC.TRANSPORT_KILL_ON_DEADLOCK] = [false].
010.010.010.004 2021.01.29 09:13:54.496 КОНФИГУРАЦИЯ   ConfigurationParameter Параметр [LRC.TRANSPORT_KILL_SLOW_READERS] = [false].
010.010.010.004 2021.01.29 09:14:00.547 БЕЗУСЛОВНОЕ    libtransport.RRTITransport.init Абонент 1 не обнаружил записи CRC в локальной карте адресации.
010.010.010.004 2021.01.29 09:14:00.577 БЕЗУСЛОВНОЕ    RTIambassadorImpl.newInstance Центральный компонент не найден
010.010.010.004 2021.01.29 09:14:01.583 ИНФОРМАЦИОННОЕ Logger Журнал закрыт
