010.055.082.202 2021.01.28 10:48:41.935 КОНФИГУРАЦИЯ   lsrc.main Версия СПО: 2.0.0164
010.055.082.202 2021.01.28 10:48:41.936 ОТЛАДКА_2      ConfigurationManager ConfigurationManager::read()
010.055.082.202 2021.01.28 10:48:41.936 ОТЛАДКА_2      ConfigurationManager Чтение переменных окружения.
010.055.082.202 2021.01.28 10:48:41.936 ОТЛАДКА_2      ConfigurationManager Чтение переменной окружения: RRTI_HOME.
010.055.082.202 2021.01.28 10:48:41.936 КОНФИГУРАЦИЯ   ConfigurationManager Значение переменной окружения [RRTI_HOME]: [C:\rrti-2.0\RRTI-2.0.0164].
010.055.082.202 2021.01.28 10:48:41.936 ОТЛАДКА_2      ConfigurationManager Чтение переменной окружения: CRC_CONFIG.
010.055.082.202 2021.01.28 10:48:41.936 КОНФИГУРАЦИЯ   ConfigurationManager Значение переменной окружения [CRC_CONFIG]: [(null)].
010.055.082.202 2021.01.28 10:48:41.936 ОТЛАДКА_2      ConfigurationManager Чтение переменной окружения: LSRC_CONFIG.
010.055.082.202 2021.01.28 10:48:41.936 КОНФИГУРАЦИЯ   ConfigurationManager Значение переменной окружения [LSRC_CONFIG]: [(null)].
010.055.082.202 2021.01.28 10:48:41.936 ОТЛАДКА_2      ConfigurationManager Чтение переменной окружения: LRC_CONFIG.
010.055.082.202 2021.01.28 10:48:41.936 КОНФИГУРАЦИЯ   ConfigurationManager Значение переменной окружения [LRC_CONFIG]: [(null)].
010.055.082.202 2021.01.28 10:48:41.936 ОТЛАДКА_2      ConfigurationManager Поиск конфигурационного файла [lsrc.cfg]:
010.055.082.202 2021.01.28 10:48:41.936 ОТЛАДКА_2      ConfigurationManager - Согласно переменной окружения...
010.055.082.202 2021.01.28 10:48:41.936 ОТЛАДКА_2      ConfigurationManager - Переменная окружения не установлена...
010.055.082.202 2021.01.28 10:48:41.936 ОТЛАДКА_2      ConfigurationManager - В директории RRTI_HOME/conf...
010.055.082.202 2021.01.28 10:48:41.936 КОНФИГУРАЦИЯ   ConfigurationManager - Конфигурационный файл читается из директории RRTI_HOME/conf.
010.055.082.202 2021.01.28 10:48:41.936 КОНФИГУРАЦИЯ   ConfigurationManager Используется конфигурационный файл [C:\rrti-2.0\RRTI-2.0.0164\conf\lsrc.cfg].
010.055.082.202 2021.01.28 10:48:41.937 КОНФИГУРАЦИЯ   ConfigurationParameter Параметр [CRC.ADDRESS] = [10.55.82.125].
010.055.082.202 2021.01.28 10:48:41.937 КОНФИГУРАЦИЯ   ConfigurationParameter Параметр [TRANSPORT.OWN_ADDRESS] = [10.55.82.202].
010.055.082.202 2021.01.28 10:48:41.937 КОНФИГУРАЦИЯ   ConfigurationParameter Параметр [LSRC.TRANSPORT_KILL_ON_DEADLOCK] = [false].
010.055.082.202 2021.01.28 10:48:41.937 КОНФИГУРАЦИЯ   ConfigurationParameter Параметр [LSRC.TRANSPORT_DEADLOCK_TIMEOUT] = [600000].
010.055.082.202 2021.01.28 10:48:41.937 КОНФИГУРАЦИЯ   ConfigurationParameter Параметр [LSRC.TRANSPORT_KILL_SLOW_READERS] = [false].
010.055.082.202 2021.01.28 10:48:42.966 ОШИБКА         lsrc.TCPStream.connect Тайм-аут соединения
010.055.082.202 2021.01.28 10:48:42.966 ОШИБКА         lsrc.RUDistributor.addPeer Ошибка при соединении с хостом 10.55.82.125
010.055.082.202 2021.01.28 10:48:42.966 БЕЗУСЛОВНОЕ    lsrc.RUDistributor.init Ошибка при соединении с хостом CRC 10.55.82.125
010.055.082.202 2021.01.28 10:48:42.966 БЕЗУСЛОВНОЕ    lsrc.main Невозможно инициализировать дистрибьютор LOW_LATENCY RU сообщений, ошибка 7
