127.000.001.001 2021.01.25 13:34:21.881 КОНФИГУРАЦИЯ   lsrc.main Версия СПО: 2.0.0164
127.000.001.001 2021.01.25 13:34:21.886 ОТЛАДКА_2      ConfigurationManager ConfigurationManager::read()
127.000.001.001 2021.01.25 13:34:21.886 ОТЛАДКА_2      ConfigurationManager Чтение переменных окружения.
127.000.001.001 2021.01.25 13:34:21.886 ОТЛАДКА_2      ConfigurationManager Чтение переменной окружения: RRTI_HOME.
127.000.001.001 2021.01.25 13:34:21.886 КОНФИГУРАЦИЯ   ConfigurationManager Значение переменной окружения [RRTI_HOME]: [/home/k-110-04/Desktop/RRTI/rrti-2.0.0164/].
127.000.001.001 2021.01.25 13:34:21.886 ОТЛАДКА_2      ConfigurationManager Чтение переменной окружения: CRC_CONFIG.
127.000.001.001 2021.01.25 13:34:21.886 КОНФИГУРАЦИЯ   ConfigurationManager Значение переменной окружения [CRC_CONFIG]: [(null)].
127.000.001.001 2021.01.25 13:34:21.886 ОТЛАДКА_2      ConfigurationManager Чтение переменной окружения: LSRC_CONFIG.
127.000.001.001 2021.01.25 13:34:21.886 КОНФИГУРАЦИЯ   ConfigurationManager Значение переменной окружения [LSRC_CONFIG]: [(null)].
127.000.001.001 2021.01.25 13:34:21.886 ОТЛАДКА_2      ConfigurationManager Чтение переменной окружения: LRC_CONFIG.
127.000.001.001 2021.01.25 13:34:21.886 КОНФИГУРАЦИЯ   ConfigurationManager Значение переменной окружения [LRC_CONFIG]: [(null)].
127.000.001.001 2021.01.25 13:34:21.886 ОТЛАДКА_2      ConfigurationManager Поиск конфигурационного файла [lsrc.cfg]:
127.000.001.001 2021.01.25 13:34:21.886 ОТЛАДКА_2      ConfigurationManager - Согласно переменной окружения...
127.000.001.001 2021.01.25 13:34:21.886 ОТЛАДКА_2      ConfigurationManager - Переменная окружения не установлена...
127.000.001.001 2021.01.25 13:34:21.886 ОТЛАДКА_2      ConfigurationManager - В директории RRTI_HOME/conf...
127.000.001.001 2021.01.25 13:34:21.886 КОНФИГУРАЦИЯ   ConfigurationManager - Конфигурационный файл читается из директории RRTI_HOME/conf.
127.000.001.001 2021.01.25 13:34:21.886 КОНФИГУРАЦИЯ   ConfigurationManager Используется конфигурационный файл [/home/k-110-04/Desktop/RRTI/rrti-2.0.0164//conf/lsrc.cfg].
127.000.001.001 2021.01.25 13:34:21.886 КОНФИГУРАЦИЯ   ConfigurationParameter Параметр [LSRC.LOG_LEVEL_CONSOLE] = [0].
127.000.001.001 2021.01.25 13:34:21.886 КОНФИГУРАЦИЯ   ConfigurationParameter Параметр [LSRC.LOG_LEVEL_FILE] = [0].
127.000.001.001 2021.01.25 13:34:21.886 КОНФИГУРАЦИЯ   ConfigurationParameter Параметр [CRC.ADDRESS] = [10.55.82.125].
127.000.001.001 2021.01.25 13:34:21.886 КОНФИГУРАЦИЯ   ConfigurationParameter Параметр [TRANSPORT.OWN_ADDRESS] = [10.55.82.125].
